[15, 14, 15, 4, 18, 13, 16, 7, 18, 13]
[15, 7, 16, 1, 18, 13, 15, 4, 18, 1]
[18, 12, 18, 8, 18, 10, 18, 10, 17, 7]
[17, 5, 18, 4, 16, 4, 18, 13, 15, 5]
[17, 4, 18, 8, 18, 9, 18, 5, 16, 7]
[18, 6, 16, 12, 18, 5, 18, 8, 17, 6]
[17, 10, 18, 10, 18, 1, 18, 10, 18, 1]
[16, 2, 16, 5, 17, 2, 18, 2, 18, 5]
[16, 2, 18, 2, 17, 2, 18, 4, 15, 4]
[17, 10, 15, 12, 17, 8, 15, 1, 17, 13]
[15, 1, 15, 14, 15, 12, 18, 13, 15, 10]
[18, 8, 17, 8, 15, 10, 15, 7, 16, 7]
[15, 12, 17, 10, 16, 10, 15, 13, 15, 10]
[18, 12, 15, 6, 18, 8, 16, 7, 15, 13]
[18, 12, 18, 8, 15, 9, 18, 13, 15, 14]
[16, 5, 17, 1, 16, 1, 15, 5, 16, 7]
[16, 5, 16, 1, 17, 1, 16, 7, 15, 5]
[17, 1, 15, 5, 16, 5, 16, 7, 16, 1]
[18, 4, 15, 3, 17, 4, 17, 4, 17, 6]
[17, 13, 15, 6, 18, 12, 15, 6, 18, 13]
[15, 10, 18, 13, 17, 13, 15, 6, 18, 12]
[18, 12, 17, 13, 15, 6, 15, 14, 16, 13]
[15, 12, 16, 4, 18, 2, 17, 10, 17, 12]
[18, 14, 18, 7, 17, 13, 18, 6, 18, 8]
[18, 6, 18, 7, 18, 8, 18, 1, 17, 13]
[16, 10, 16, 2, 16, 10, 15, 10, 18, 10]
[16, 4, 17, 5, 17, 6, 15, 8, 15, 2]
[17, 5, 15, 8, 16, 4, 15, 7, 17, 9]
[17, 5, 15, 8, 16, 4, 15, 7, 17, 6]
[16, 4, 17, 5, 17, 9, 17, 2, 15, 7]
